iter	Passed	Remaining
0	147	147811
1	148	74216
2	149	49638
3	150	37384
4	150	30012
5	151	25089
6	152	21572
7	152	18936
8	153	16880
9	153	15217
10	154	13868
11	154	12751
12	155	11834
13	156	11029
14	157	10325
15	157	9712
16	158	9167
17	159	8684
18	159	8251
19	160	7860
20	161	7507
21	161	7185
22	162	6891
23	162	6620
24	163	6379
25	164	6152
26	164	5941
27	165	5744
28	166	5559
29	166	5386
30	167	5225
31	167	5074
32	168	4932
33	169	4802
34	170	4699
35	171	4595
36	172	4488
37	173	4386
38	174	4287
39	174	4191
40	175	4102
41	176	4015
42	176	3932
43	177	3851
44	177	3774
45	178	3702
46	179	3634
47	180	3572
48	181	3513
49	181	3455
50	182	3398
51	183	3348
52	185	3313
53	186	3269
54	187	3227
55	188	3178
56	189	3134
57	190	3090
58	191	3047
59	191	3006
60	192	2965
61	193	2926
62	194	2888
63	194	2851
64	195	2815
65	196	2779
66	197	2744
67	197	2710
68	198	2677
69	199	2650
70	200	2622
71	201	2594
72	202	2566
73	202	2536
74	203	2507
75	203	2478
76	204	2452
77	205	2426
78	205	2400
79	206	2375
80	207	2350
81	207	2326
82	208	2303
83	209	2280
84	209	2257
85	210	2236
86	211	2214
87	211	2192
88	212	2171
89	212	2151
90	213	2133
91	214	2117
92	215	2100
93	216	2082
94	216	2064
95	217	2046
96	217	2028
97	218	2010
98	219	1996
99	220	1982
100	221	1967
101	221	1951
102	222	1935
103	222	1920
104	223	1905
105	224	1890
106	224	1875
107	225	1860
108	225	1846
109	226	1833
110	227	1820
111	227	1806
112	228	1794
113	229	1784
114	230	1773
115	231	1761
116	231	1749
117	232	1738
118	233	1727
119	233	1715
120	234	1701
121	234	1689
122	235	1678
123	235	1667
124	236	1655
125	237	1644
126	237	1633
127	238	1623
128	238	1613
129	239	1604
130	240	1593
131	240	1584
132	241	1573
133	242	1564
134	242	1554
135	243	1545
136	244	1538
137	245	1532
138	246	1523
139	246	1515
140	247	1506
141	248	1499
142	248	1489
143	249	1481
144	249	1473
145	250	1465
146	251	1457
147	251	1449
148	252	1441
149	253	1433
150	253	1425
151	254	1418
152	254	1410
153	255	1402
154	255	1394
155	256	1386
156	256	1379
157	257	1371
158	257	1364
159	258	1357
160	259	1353
161	260	1347
162	261	1341
163	261	1334
164	262	1328
165	263	1321
166	263	1314
167	264	1308
168	264	1301
169	265	1295
170	265	1289
171	266	1282
172	267	1276
173	267	1270
174	268	1264
175	268	1258
176	269	1252
177	269	1246
178	270	1240
179	271	1235
180	271	1229
181	272	1223
182	272	1218
183	273	1212
184	274	1207
185	275	1204
186	276	1200
187	276	1195
188	277	1190
189	278	1185
190	278	1180
191	279	1175
192	279	1170
193	280	1165
194	281	1160
195	281	1155
196	282	1150
197	282	1145
198	283	1140
199	283	1135
200	284	1131
201	285	1126
202	285	1121
203	286	1116
204	286	1112
205	287	1107
206	287	1103
207	288	1098
208	289	1094
209	290	1091
210	291	1089
211	291	1085
212	292	1081
213	293	1078
214	294	1074
215	295	1070
216	295	1067
217	296	1063
218	297	1059
219	297	1056
220	298	1052
221	299	1048
222	299	1045
223	300	1041
224	301	1038
225	302	1034
226	302	1031
227	303	1027
228	304	1024
229	305	1023
230	306	1019
231	307	1016
232	307	1013
233	308	1010
234	309	1007
235	310	1003
236	310	1000
237	311	996
238	311	993
239	312	990
240	313	986
241	314	983
242	314	980
243	315	977
244	316	974
245	316	970
246	317	967
247	317	964
248	318	961
249	319	958
250	321	958
251	322	956
252	322	953
253	324	952
254	325	949
255	325	947
256	326	944
257	327	941
258	328	938
259	328	935
260	329	933
261	330	930
262	330	927
263	332	925
264	332	923
265	334	921
266	335	921
267	336	918
268	336	915
269	337	912
270	338	909
271	338	906
272	339	903
273	339	900
274	340	898
275	341	895
276	342	892
277	342	889
278	343	887
279	344	884
280	344	881
281	345	879
282	346	876
283	346	874
284	347	871
285	348	868
286	348	866
287	349	865
288	350	862
289	351	860
290	352	857
291	352	855
292	353	852
293	354	850
294	354	847
295	355	844
296	355	842
297	356	839
298	357	837
299	357	834
300	358	832
301	359	829
302	359	827
303	360	824
304	360	822
305	361	819
306	362	817
307	362	814
308	363	812
309	363	809
310	365	808
311	365	806
312	366	804
313	367	802
314	367	800
315	368	797
316	369	795
317	369	793
318	370	790
319	370	788
320	371	785
321	372	783
322	372	780
323	373	778
324	373	775
325	374	773
326	374	771
327	375	769
328	375	766
329	376	764
330	377	762
331	377	759
332	378	757
333	379	756
334	380	754
335	380	752
336	381	750
337	382	748
338	382	746
339	383	743
340	383	741
341	384	739
342	385	737
343	385	735
344	386	733
345	386	731
346	387	729
347	388	727
348	388	725
349	389	722
350	389	720
351	390	718
352	391	716
353	391	714
354	392	712
355	392	710
356	393	708
357	394	706
358	395	705
359	395	703
360	396	702
361	397	700
362	397	698
363	398	696
364	399	694
365	399	692
366	400	690
367	400	688
368	401	686
369	401	684
370	402	682
371	403	680
372	403	678
373	404	676
374	404	674
375	405	672
376	405	670
377	406	668
378	407	667
379	407	665
380	408	663
381	408	661
382	409	659
383	410	658
384	411	656
385	411	655
386	412	653
387	413	651
388	413	649
389	414	647
390	414	645
391	415	644
392	415	642
393	416	640
394	417	638
395	417	637
396	418	635
397	419	633
398	419	632
399	420	630
400	420	628
401	421	626
402	421	625
403	422	623
404	423	621
405	423	619
406	424	618
407	425	616
408	426	615
409	426	614
410	427	612
411	427	610
412	428	609
413	429	607
414	429	605
415	430	604
416	431	602
417	431	600
418	432	599
419	432	597
420	433	596
421	433	594
422	434	592
423	435	591
424	435	589
425	436	587
426	436	586
427	437	584
428	437	582
429	438	581
430	439	579
431	440	578
432	440	577
433	441	576
434	442	574
435	442	573
436	443	571
437	444	569
438	444	568
439	445	566
440	445	565
441	446	563
442	447	562
443	447	560
444	448	559
445	448	557
446	449	556
447	450	554
448	450	552
449	451	551
450	451	549
451	452	548
452	452	546
453	453	545
454	454	543
455	454	542
456	455	541
457	456	540
458	457	539
459	457	537
460	458	536
461	459	534
462	459	533
463	460	531
464	461	530
465	462	529
466	463	529
467	464	528
468	465	526
469	466	525
470	466	524
471	467	523
472	468	521
473	469	520
474	470	520
475	472	520
476	473	518
477	474	517
478	474	516
479	475	515
480	476	513
481	476	512
482	477	511
483	477	509
484	478	508
485	479	506
486	479	505
487	480	503
488	480	502
489	481	501
490	482	499
491	482	498
492	483	496
493	483	495
494	484	494
495	485	492
496	485	491
497	486	490
498	487	489
499	487	487
500	488	486
501	489	485
502	489	483
503	490	482
504	490	481
505	491	479
506	492	478
507	492	477
508	493	475
509	493	474
510	494	473
511	494	471
512	495	470
513	496	469
514	496	467
515	497	466
516	497	464
517	498	463
518	498	462
519	499	461
520	500	459
521	501	458
522	501	457
523	502	456
524	503	455
525	503	453
526	504	452
527	505	451
528	505	450
529	506	449
530	507	447
531	507	446
532	508	445
533	509	444
534	509	442
535	510	441
536	511	440
537	511	439
538	512	438
539	513	437
540	513	435
541	514	434
542	515	433
543	516	432
544	516	431
545	517	430
546	518	429
547	518	428
548	519	426
549	520	425
550	520	424
551	521	423
552	522	422
553	522	420
554	523	419
555	524	418
556	524	417
557	525	416
558	525	414
559	526	413
560	527	412
561	527	411
562	528	410
563	528	408
564	529	407
565	530	406
566	532	406
567	532	405
568	533	404
569	534	402
570	534	401
571	535	400
572	535	399
573	536	398
574	537	396
575	537	395
576	538	394
577	538	393
578	539	392
579	539	390
580	540	389
581	540	388
582	541	387
583	541	386
584	542	384
585	543	383
586	543	382
587	544	381
588	545	380
589	545	379
590	546	378
591	547	377
592	548	376
593	548	375
594	549	373
595	549	372
596	550	371
597	551	370
598	551	369
599	552	368
600	552	366
601	553	365
602	553	364
603	554	363
604	554	362
605	555	361
606	556	359
607	556	358
608	557	357
609	557	356
610	558	355
611	558	354
612	559	353
613	560	352
614	562	351
615	562	350
616	563	349
617	564	348
618	565	347
619	565	346
620	566	345
621	566	344
622	567	343
623	568	342
624	568	341
625	569	340
626	569	338
627	570	337
628	570	336
629	571	335
630	572	334
631	572	333
632	573	332
633	573	331
634	574	330
635	575	329
636	576	328
637	577	327
638	577	326
639	578	325
640	579	324
641	580	323
642	580	322
643	581	321
644	581	320
645	582	319
646	582	318
647	583	316
648	584	315
649	584	314
650	585	313
651	585	312
652	586	311
653	587	310
654	587	309
655	588	308
656	589	307
657	590	306
658	591	305
659	592	305
660	592	304
661	593	303
662	594	302
663	594	301
664	595	300
665	596	299
666	597	298
667	597	297
668	598	296
669	599	295
670	599	294
671	600	293
672	600	291
673	601	290
674	602	289
675	602	288
676	603	287
677	604	286
678	605	286
679	608	286
680	610	285
681	611	285
682	612	284
683	613	283
684	614	282
685	615	281
686	615	280
687	616	279
688	617	278
689	617	277
690	618	276
691	619	275
692	619	274
693	620	273
694	621	272
695	622	271
696	623	270
697	623	269
698	624	268
699	625	267
700	625	266
701	626	265
702	626	264
703	627	263
704	627	262
705	628	261
706	629	260
707	629	259
708	630	258
709	631	257
710	631	256
711	632	255
712	632	254
713	633	253
714	634	252
715	634	251
716	635	250
717	636	249
718	636	248
719	637	247
720	638	246
721	638	245
722	639	244
723	639	243
724	640	242
725	641	242
726	641	241
727	642	240
728	643	239
729	644	238
730	644	237
731	645	236
732	645	235
733	646	234
734	646	233
735	647	232
736	648	231
737	648	230
738	649	229
739	650	228
740	651	227
741	652	226
742	653	225
743	653	224
744	654	223
745	655	223
746	655	222
747	656	221
748	657	220
749	657	219
750	658	218
751	658	217
752	659	216
753	659	215
754	660	214
755	660	213
756	661	212
757	662	211
758	662	210
759	663	209
760	663	208
761	664	207
762	665	206
763	665	205
764	666	204
765	667	203
766	667	202
767	668	201
768	669	200
769	669	200
770	670	199
771	670	198
772	671	197
773	672	196
774	672	195
775	673	194
776	673	193
777	674	192
778	675	191
779	675	190
780	676	189
781	676	188
782	677	187
783	678	186
784	678	185
785	679	184
786	679	184
787	680	183
788	681	182
789	682	181
790	682	180
791	683	179
792	684	178
793	684	177
794	685	176
795	685	175
796	686	174
797	687	173
798	687	172
799	688	172
800	688	171
801	689	170
802	690	169
803	690	168
804	691	167
805	691	166
806	692	165
807	693	164
808	693	163
809	694	162
810	694	161
811	695	161
812	696	160
813	697	159
814	698	158
815	698	157
816	699	156
817	699	155
818	700	154
819	701	153
820	701	152
821	702	152
822	702	151
823	703	150
824	704	149
825	704	148
826	705	147
827	705	146
828	706	145
829	706	144
830	707	143
831	708	142
832	708	142
833	709	141
834	709	140
835	710	139
836	711	138
837	712	137
838	712	136
839	713	135
840	714	135
841	714	134
842	715	133
843	715	132
844	716	131
845	716	130
846	717	129
847	718	128
848	718	127
849	719	126
850	720	126
851	720	125
852	721	124
853	722	123
854	722	122
855	723	121
856	723	120
857	724	119
858	725	119
859	725	118
860	726	117
861	727	116
862	728	115
863	728	114
864	729	113
865	729	112
866	730	112
867	731	111
868	731	110
869	732	109
870	733	108
871	733	107
872	734	106
873	734	105
874	735	105
875	735	104
876	736	103
877	737	102
878	737	101
879	738	100
880	738	99
881	739	98
882	740	98
883	740	97
884	741	96
885	742	95
886	743	94
887	743	93
888	744	92
889	744	92
890	745	91
891	746	90
892	747	89
893	747	88
894	748	87
895	749	86
896	749	86
897	750	85
898	751	84
899	752	83
900	752	82
901	753	81
902	754	81
903	755	80
904	755	79
905	757	78
906	774	79
907	775	78
908	776	77
909	776	76
910	777	75
911	777	75
912	778	74
913	778	73
914	779	72
915	780	71
916	780	70
917	781	69
918	781	68
919	782	68
920	783	67
921	783	66
922	784	65
923	784	64
924	785	63
925	786	62
926	786	61
927	787	61
928	788	60
929	789	59
930	790	58
931	790	57
932	791	56
933	792	55
934	792	55
935	793	54
936	793	53
937	794	52
938	794	51
939	795	50
940	795	49
941	796	49
942	797	48
943	797	47
944	798	46
945	798	45
946	799	44
947	799	43
948	800	43
949	800	42
950	801	41
951	802	40
952	803	39
953	804	38
954	805	37
955	805	37
956	806	36
957	806	35
958	807	34
959	808	33
960	808	32
961	809	31
962	809	31
963	810	30
964	810	29
965	811	28
966	812	27
967	812	26
968	813	26
969	813	25
970	814	24
971	814	23
972	815	22
973	816	21
974	816	20
975	817	20
976	819	19
977	820	18
978	820	17
979	821	16
980	821	15
981	822	15
982	822	14
983	823	13
984	824	12
985	824	11
986	825	10
987	825	10
988	826	9
989	826	8
990	827	7
991	827	6
992	828	5
993	829	5
994	829	4
995	830	3
996	830	2
997	831	1
998	832	0
999	833	0
